id,head_office_id,user_id,location_id,created_at,updated_at
5,17,1019,77,2024-09-02 18:34:14,2024-09-02 18:34:14
6,17,1021,77,2024-09-02 18:40:37,2024-09-02 18:40:37
7,17,1022,77,2024-09-02 18:41:10,2024-09-02 18:41:10
10,1,1034,1,2024-10-28 14:14:30,2024-10-28 14:14:30
11,1,1034,90,2024-10-28 14:14:30,2024-10-28 14:14:30
13,12,1055,69,2024-12-13 11:37:06,2024-12-13 11:37:06
14,1,1,1,2025-01-02 12:20:08,2025-01-02 12:20:08
15,1,1,5,2025-01-02 12:20:08,2025-01-02 12:20:08
16,1,1,11,2025-01-02 12:20:08,2025-01-02 12:20:08
17,1,1,14,2025-01-02 12:20:08,2025-01-02 12:20:08
18,64,1034,956,2025-12-12 15:34:45,2025-12-12 15:34:45
