id,head_office_user_id,case_id,note,created_at,updated_at,master_stage_handler,deleted_at,is_hidden
429,86,244,,2025-03-16 23:27:21,2025-03-17 14:08:25,0,,1
430,32,323,,2025-03-16 23:45:45,2025-03-16 23:45:45,0,,0
431,86,324,,2025-03-17 00:21:12,2025-03-29 15:27:31,0,2025-03-29 15:27:31,0
432,115,244,she will handle it,2025-03-17 00:47:18,2025-03-17 00:47:18,0,,0
435,86,325,,2025-03-17 12:32:42,2025-03-29 15:27:06,0,2025-03-29 15:27:06,0
436,115,325,,2025-03-17 13:23:47,2025-03-17 13:23:47,0,,1
437,115,324,,2025-03-17 13:23:55,2025-03-17 13:23:55,0,,1
438,86,326,,2025-03-17 13:30:34,2025-03-17 13:49:53,0,2025-03-17 13:49:53,0
442,115,326,,2025-03-17 13:48:44,2025-04-21 10:38:02,0,2025-04-21 10:38:02,0
447,114,326,,2025-03-17 14:02:53,2025-03-17 14:02:53,0,,0
451,79,327,,2025-03-17 14:57:08,2025-03-17 14:57:08,0,,0
452,68,327,,2025-03-17 14:59:40,2025-03-17 14:59:40,0,,1
453,65,328,,2025-03-17 17:14:31,2025-03-17 17:14:31,0,,0
454,91,328,,2025-03-17 17:16:01,2025-09-08 20:18:59,0,2025-09-08 20:18:59,1
455,65,329,,2025-03-17 17:22:51,2025-03-17 17:22:51,0,,0
456,65,330,,2025-03-17 17:32:46,2025-03-17 17:32:46,0,,0
457,65,331,,2025-03-17 17:36:41,2025-03-17 17:36:41,0,,0
458,86,332,,2025-03-18 13:04:56,2025-03-18 13:04:56,0,,0
459,115,332,,2025-03-18 13:05:30,2025-03-18 13:05:30,0,,1
460,127,333,,2025-03-18 13:16:37,2025-03-18 13:16:37,0,,0
