id,show_total,form_ids,user_id,name,start_date,end_date,date_range,created_at,updated_at,report_type,sites,dashboard,section,dash_name,head_office_id,report_code,show_to_involved_sites,is_dashboard_report
1,1,"[""98"", ""232""]",1001,Pharmacovigilance,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,patient_safety_incidents,Pharmacovigilance,Patient Safety Incident,37,pvgil,0,1
4,1,"[""98"", ""232""]",1001,Care Home PSI,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,patient_safety_incidents,Care Home,Patient Safety Incident,37,chpsi,0,1
5,1,"[""157""]",1001,CD Management,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,controlled_drug_management,,controlled drug managment,37,cdmgt,0,1
6,1,"[""164""]",1001,Patient Safety Report Near Miss,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,"[""all""]",patient_safety_incidents,,Patient Safety Incident,37,nmpsi,0,1
7,1,"[""101""]",1001,Freedom to Speak Up (FTSU)  Type of Concern,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,freedom_to_speak_up,,freedom to speak up,37,ftsu_tc,0,1
8,1,"[""101""]",1001,Freedom to Speak Up (FTSU) People Concern,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,freedom_to_speak_up,,freedom to speak up,37,ftsu_pc,0,1
9,1,"[""101""]",1001,Freedom to Speak Up (FTSU) Pharmacy Concern,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,freedom_to_speak_up,,freedom to speak up,37,ftsu_ph,0,1
10,1,"[""98"", ""232""]",1001,Patient Safety Report PSI,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,"[""all""]",patient_safety_incidents,,Patient Safety Incident,37,psrpsi,0,1
11,1,"[""98"", ""232""]",1001,Central Fulfilment PSI Monthly Report,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,central_fulfillment,,Central Fulfillment,37,cfpsi,0,1
12,1,"[""98"", ""232""]",1001,HDS,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,patient_safety_incidents,HDS,Patient Safety Incident,37,hdspsi,0,1
13,1,"[""164""]",1001,Central Fulfilment Near Miss Monthly Report (Local pharmacy reporting Logistic delivery network),2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,"[""752""]",central_fulfillment,Near Miss,Central Fulfillment,37,cfnm1,0,1
14,1,"[""159""]",1001,CD Audit (Pre July),2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,controlled_drug_management,,controlled drug managment,37,cdaud1,0,1
15,1,"[""163""]",1001,NHS contract compliance,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,nhs_and_iG,,NHS and IG,37,nhscc,0,1
16,1,"[""106""]",1001,PSNI/MRG inspection,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,pharmacy_premises_inspection,,pharmacy premises inspection,37,psniin,0,1
18,1,"[""164""]",1001,Central Fulfilment Near Miss(CF Meir Park Pharmacy Hub),2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,central_fulfillment,Near Miss,Central Fulfillment,37,cfnm3,0,1
19,1,"[""156""]",1001,Information Governance QGM,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,,nhs_and_iG,,NHS and IG,37,igqgm,0,1
20,1,"[""106""]",1001,GPHC Inspections,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,gphc,,pharmacy_premises_inspection,,pharmacy premises inspection,37,gphci,0,1
22,1,"[""101""]",1001,Freedom to Speak Up (FTSU)  Actions,2025-01-01,2025-12-31,01 Jan 2025 - 31 Dec 2025,2025-05-16 11:23:44,2025-09-02 08:12:37,,,freedom_to_speak_up,,freedom to speak up,37,ftsu_act,0,1
23,1,"[""164""]",1001,MDS CF Near miss,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,,"[""257""]	",MDSCF,,MDSCF,37,mdsnm,0,1
24,1,"[""101""]",1001,Freedom to Speak Up (FTSU) Report to National Guardian,2025-04-01,2025-04-30,01 Apr 2025 - 30 Apr 2025,2025-05-16 11:23:44,2025-05-16 11:23:44,count_selection,,freedom_to_speak_up,,freedom to speak up,37,ftsu_ng,0,1
