id,user_id,role_id,created_at,updated_at
1,1,2,2023-06-17 19:56:36,2023-06-17 19:56:36
7,7,2,2024-03-22 16:45:47,2024-03-22 16:45:47
8,1001,7,2024-05-27 15:59:58,2024-05-27 15:59:58
9,1001,5,2024-05-27 15:59:58,2024-05-27 15:59:58
10,1002,2,2024-05-28 12:56:33,2024-05-28 12:56:33
11,1003,2,2024-05-28 13:08:24,2024-05-28 13:08:24
12,1004,2,2024-05-28 13:08:24,2024-05-28 13:08:24
13,1006,1,2024-07-24 19:43:07,2024-07-24 19:43:07
14,1012,1,2024-08-07 12:34:54,2024-08-07 12:34:54
15,1013,1,2024-08-07 12:46:02,2024-08-07 12:46:02
16,1014,1,2024-08-08 13:25:44,2024-08-08 13:25:44
17,1017,2,2024-08-29 16:30:54,2024-08-29 16:30:54
18,1021,5,2024-09-02 18:35:41,2024-09-02 18:35:41
19,1024,1,2024-09-03 17:02:12,2024-09-03 17:02:12
20,1025,1,2024-09-03 17:09:41,2024-09-03 17:09:41
22,1027,1,2024-09-04 14:41:29,2024-09-04 14:41:29
23,1031,1,2024-09-04 20:15:46,2024-09-04 20:15:46
24,1033,1,2024-09-06 01:11:41,2024-09-06 01:11:41
25,1034,3,2024-10-07 21:58:17,2024-10-07 21:58:17
26,1035,1,2024-10-09 16:59:59,2024-10-09 16:59:59
