id,new_task_id,head_office_user_id,is_received,notified_at,notification_type,notification_key,created_at,updated_at
1,161,65,1,2025-04-10 12:22:38,,,2025-04-10 12:22:38,2025-04-10 12:54:03
2,161,90,0,2025-04-10 12:22:38,,,2025-04-10 12:22:38,2025-04-10 12:22:38
3,195,65,0,2025-04-21 12:01:25,,,2025-04-21 12:01:25,2025-04-21 12:01:25
4,204,149,0,2025-04-23 14:25:26,,,2025-04-23 14:25:26,2025-04-23 14:25:26
5,204,150,0,2025-04-23 14:25:26,,,2025-04-23 14:25:26,2025-04-23 14:25:26
6,220,79,1,2025-04-24 00:45:57,,,2025-04-24 00:45:57,2025-05-27 16:14:19
7,249,102,1,2025-05-01 14:00:03,,,2025-05-01 14:00:03,2025-05-01 15:21:30
8,267,84,1,2025-05-06 15:05:55,,,2025-05-06 15:05:55,2025-05-15 14:33:03
9,318,102,1,2025-05-09 16:56:48,,,2025-05-09 16:56:48,2025-05-15 18:02:44
10,319,102,1,2025-05-09 16:56:54,,,2025-05-09 16:56:54,2025-06-09 18:38:05
11,325,102,1,2025-05-09 18:26:06,,,2025-05-09 18:26:06,2025-05-16 13:19:11
12,326,84,1,2025-05-09 18:27:18,,,2025-05-09 18:27:18,2025-05-15 14:33:25
13,399,102,1,2025-05-13 19:14:12,,,2025-05-13 19:14:12,2025-05-16 13:18:11
14,415,199,1,2025-05-14 14:11:07,,,2025-05-14 14:11:07,2025-05-14 15:04:10
15,419,65,0,2025-05-14 16:49:09,,,2025-05-14 16:49:09,2025-05-14 16:49:09
16,465,102,1,2025-05-16 20:33:58,,,2025-05-16 20:33:58,2025-06-09 18:38:05
17,480,102,1,2025-05-20 20:09:05,,,2025-05-20 20:09:05,2025-06-09 18:38:05
18,487,102,1,2025-05-22 13:34:34,,,2025-05-22 13:34:34,2025-06-09 18:38:05
19,511,102,1,2025-05-23 14:00:23,,,2025-05-23 14:00:23,2025-06-09 18:38:05
20,515,102,1,2025-05-23 14:55:32,,,2025-05-23 14:55:32,2025-06-09 18:38:05
