contact_id,head_office_user_id,id,created_at,updated_at
6,1,7,2024-10-17 16:09:28,2024-10-17 16:09:28
6,44,8,2024-10-17 16:09:28,2024-10-17 16:09:28
10,46,9,2024-10-18 18:44:25,2024-10-18 18:44:25
11,46,10,2024-10-18 18:45:09,2024-10-18 18:45:09
5,1,11,2024-10-18 18:50:59,2024-10-18 18:50:59
5,44,12,2024-10-18 18:50:59,2024-10-18 18:50:59
7,43,14,2024-10-18 20:46:19,2024-10-18 20:46:19
3,1,15,2024-10-21 17:34:35,2024-10-21 17:34:35
3,44,16,2024-10-21 17:34:35,2024-10-21 17:34:35
82,65,21,2025-01-21 15:42:21,2025-01-21 15:42:21
66,90,29,2025-02-26 18:40:20,2025-02-26 18:40:20
66,97,30,2025-02-26 18:40:20,2025-02-26 18:40:20
145,65,38,2025-03-10 10:41:22,2025-03-10 10:41:22
146,97,39,2025-03-10 10:41:59,2025-03-10 10:41:59
85,65,55,2025-03-10 11:50:26,2025-03-10 11:50:26
85,100,56,2025-03-10 11:50:26,2025-03-10 11:50:26
85,112,57,2025-03-10 11:50:26,2025-03-10 11:50:26
120,65,59,2025-03-19 15:18:04,2025-03-19 15:18:04
78,107,60,2025-03-29 15:46:08,2025-03-29 15:46:08
393,120,64,2025-03-30 15:15:33,2025-03-30 15:15:33
