id,name,head_office_id,created_at,updated_at
1,Wash,36,2025-03-14 11:48:14,2025-03-17 02:20:05
2,Clean,36,2025-03-14 11:48:30,2025-03-17 02:20:05
3,Medical,36,2025-03-14 11:51:49,2025-03-17 02:20:05
4,Field Management Team,37,2025-03-15 00:48:21,2025-03-17 02:20:05
5,Pharmacy Superintendent's Team,37,2025-03-15 00:48:27,2025-03-17 02:20:05
6,Pharmacy Resourcing Team,37,2025-03-15 00:49:15,2025-03-17 02:20:05
7,Customer Team,37,2025-03-15 00:50:21,2025-03-17 02:20:05
8,People Team/Employee Relations,37,2025-03-15 00:51:08,2025-03-17 02:20:05
9,HSC,37,2025-03-15 00:51:24,2025-03-17 02:20:05
11,Central Operations Team,37,2025-03-15 00:53:18,2025-03-17 02:20:05
14,QA,1,2025-03-16 00:52:23,2025-03-17 02:20:05
15,Test,36,2025-03-16 13:44:18,2025-03-17 02:20:05
16,RB Testing,36,2025-03-16 13:49:53,2025-03-17 02:20:05
17,T1,36,2025-03-16 13:53:38,2025-03-17 02:20:05
18,T2,36,2025-03-16 13:53:42,2025-03-17 02:20:05
19,T3,36,2025-03-16 13:53:45,2025-03-17 02:20:05
20,T4,36,2025-03-16 13:53:49,2025-03-17 02:20:05
21,T5,36,2025-03-16 13:53:55,2025-03-17 02:20:05
22,T6,36,2025-03-16 13:54:01,2025-03-17 02:20:05
23,T7,36,2025-03-16 13:54:05,2025-03-17 02:20:05
